created_at,text,location,retweeted,retweet_count
Sat Mar 21 19 34 16  0000 2020,RT  ShashiTharoor  A small victory for common sense  amp  students  human rights  ,Ghaziabad   Delhi,False,99
Sat Mar 21 19 33 35  0000 2020,RT  HAHayatu  Someone sought my advice on investment  kindly help  He has 15M he want to share it among his three children for university,Lagos Nigeria,False,79
Sat Mar 21 19 33 23  0000 2020,RT  HAHayatu  Someone sought my advice on investment  kindly help  He has 15M he want to share it among his three children for university,Abuja  or  Ebonyi,False,79
Sat Mar 21 19 32 35  0000 2020,Ready to pop in your headphones  amp  listen to something to help pass the time   Visit the USDF Education Library and  ,Lexington  KY USA,False,0
Sat Mar 21 19 32 14  0000 2020,Due to the spread of Coronavirus  We re sorry to postpone the Female League Final between the Faculty of Education  ,Lagos State University  Ojo,False,0
Sat Mar 21 19 31 31  0000 2020,RT  HAHayatu  Someone sought my advice on investment  kindly help  He has 15M he want to share it among his three children for university,Kaduna,False,79
Sat Mar 21 19 30 38  0000 2020,RT  stephenasmith  Thrilled to announce  FirstTake is coming to Wilmington  Delaware in September to help promote college scholarship oppor,United States,False,636
Sat Mar 21 19 30 25  0000 2020,I thought I got accepted into Marshall University a few years ago but it turns out that Im actually going to schoo  ,another planet,False,0
Sat Mar 21 19 30 17  0000 2020,RT  DawsonLinder  Im excited to announce I will be continuing my education and baseball career at the University of Louisiana Monroe  Than,,False,45
Sat Mar 21 19 30 13  0000 2020, mmvlad  kevkeary  PeterLBrandt I am 25 years today  And I have 0 student debt  I came from Ukraine to Canada and I  ,Toronto  Ontario,False,0
Sat Mar 21 19 30 12  0000 2020,Notre nouveau guide pdagogique comprend de linformation sur lhistoire  la gographie la qualit de vie et les dr  ,Canada ,False,0
Sat Mar 21 19 29 07  0000 2020,RT  Afesiscorplan  OPINIONISTA  Quality university education is at risk because of the crisis in student accommodation  ,Bloemfontein,False,139
Sat Mar 21 19 26 54  0000 2020, DailyMirror It tax payers money that are putting these idiots through university for a better education They shoul  ,Wimborne Minster  England,False,0
Sat Mar 21 19 26 52  0000 2020,In light of everything going online  theres a fantastic free course with the open university that helps you learn  ,Beaconsfield  Buckinghamshire,False,0
Sat Mar 21 19 26 18  0000 2020, Laelia Ve Je n ai que trs rarement entendu domPter  Pas parce que ma famille a de l ducation  ni de la distincti  ,Regina  Saskatchewan  Canada,False,0
Sat Mar 21 19 24 08  0000 2020,RT  CFabio7  I am very excited to announce that I have verbally committed to further my education and softball career at Furman University ,,False,13
Sat Mar 21 19 21 30  0000 2020,RT  CFabio7  I am very excited to announce that I have verbally committed to further my education and softball career at Furman University ,the court,False,13
Sat Mar 21 19 18 06  0000 2020,RT  IndependentNGR  Covid 19  Ministry Of Education Has No Right To Close University  Says Afe Babalola    ,,False,9
Sat Mar 21 19 16 27  0000 2020,Barring any good investment advise from expert on Twitter street  he should buy education endowment fund for them   ,,False,0
Sat Mar 21 19 16 26  0000 2020, lporiginalg This virus sure has some positives  The destruction of university education would be a welcome side effect ,,False,0
Sat Mar 21 19 14 55  0000 2020,RT  VinceKMorgan  And its a Match  Ill be continuing my medical education as an Orthopaedic Surgery resident at Rush University Medical C,San Franciso  CA,False,41
Sat Mar 21 19 13 17  0000 2020,We re hiring in  Nashville  TN  Click the link in our bio to apply to this job and more  Associate Child Care Teach  ,Nashville  TN,False,0
Sat Mar 21 19 13 00  0000 2020,University employees were directed to start working at home by NU s Carter   ,Lincoln  NE,False,0
Sat Mar 21 19 12 11  0000 2020,RT  HAHayatu  Someone sought my advice on investment  kindly help  He has 15M he want to share it among his three children for university,,False,79
Sat Mar 21 19 10 45  0000 2020,RT  PorterConnors  I am extremely excited to announce I ve earned a offer to continue my education  amp  play ball at the University of Cali,Provo  UT,False,13
Sat Mar 21 19 10 24  0000 2020,RT  AndrewMcmullins   NSelkie  EnglishmanAdam  NotMyShitPile Sorry   I keep getting asked how can people be so selfish  England voted fo,,False,1
Sat Mar 21 19 09 21  0000 2020,William Paterson University Campus Closing For the Remainder of the Spring Semester   coronavirus  ,Chesterfield  VA,False,0
Sat Mar 21 19 09 18  0000 2020,Education  Keio University  Environment and Information Studies major ,TOKYO,False,0
Sat Mar 21 19 08 56  0000 2020,University of Central Oklahoma is hiring in Edmond  OK  Read about our latest Education job opening via the link in  ,Oklahoma,False,0
Sat Mar 21 19 06 46  0000 2020,Our faculty and staff are part of a meaningful work environment that embraces an inclusive community informed by ou  ,Chicago  IL,False,0
Sat Mar 21 19 06 34  0000 2020,RT  KZNGRM  Our 23rd guest is  sociologyWV  In this episode we talk about the history of the concept of a microaggression and its quick inc,Toronto  Ontario  Canada,False,2
Sat Mar 21 19 06 09  0000 2020,RT  CFabio7  I am very excited to announce that I have verbally committed to further my education and softball career at Furman University ,Plum  PA,False,13
Sat Mar 21 19 05 25  0000 2020,RT  USCLeader  Learn about University of Southern California s Doctor of Education in Organizational Change and Leadership online program ,Los Angeles CA,False,32
Sat Mar 21 19 05 01  0000 2020,RT  AhmedMa8991927  Our numbers at university exceed thousands of people If anyone injured   Covid 19  coronavirus everyone will be injur,,False,35
Sat Mar 21 19 04 58  0000 2020,RT  Leonie Wall  Its pissing me off so much that the news keep taking about year 6s not properly finishing primary school and missing th,,False,12
Sat Mar 21 19 04 36  0000 2020,RT  ydsa asu  ASU President Michael Crow calls student requests for refunds a noise level concern  asks are you kidding me about refund,,False,24
Sat Mar 21 19 04 33  0000 2020,RT  AgnesdeBerlimon   QBlueSkyQ  klsnana6 AlWaleed payed Obamas education at the Columbia UNiversity  ,,False,46
Sat Mar 21 19 03 10  0000 2020,RT  badgers united  As  UWMadison continues to drop in research rankings  it s encouraging to see the university take signs to protect the,United States,False,3
Sat Mar 21 19 02 42  0000 2020,RT  scholasticCDA  Scholastic Education Canada is committed to supporting parents and teachers during  Covid19  We ve made our digital subs,,False,164
Sat Mar 21 19 01 05  0000 2020,RT  idiabetes  Hello  We are the engineering track students from Imam Abdul Rahman bin Faisal University in Dammam  IAU  We open t,    ,False,1
Sat Mar 21 19 00 54  0000 2020,RT  ydsa asu  ASU President Michael Crow calls student requests for refunds a noise level concern  asks are you kidding me about refund,Faggo  Nigeria,False,24
Sat Mar 21 19 00 44  0000 2020,RT  Dolseca1  We  university students  demand the cancellation of the second term  Our health is more important than education  We come fro,,False,16
Sat Mar 21 19 00 04  0000 2020,Check out our guest post on how smart speakers are becoming more of a fixture in higher education  Educ Technology   ,San Francisco,False,0
Sat Mar 21 19 00 03  0000 2020,RT  Mariem96027790  We  university students  demand the cancellation of the second term  Our health is more important than education  We co,,False,26
Sat Mar 21 18 59 36  0000 2020,RT  scholasticCDA  Scholastic Education Canada is committed to supporting parents and teachers during  Covid19  We ve made our digital subs,,False,164
Sat Mar 21 18 59 36  0000 2020,RT  RushingEmanuel  Super blessed to say that Ill be taking my talent and education to the university of southern Mississippi  1000  comm,Hattiesburg Ms,False,35
Sat Mar 21 18 58 17  0000 2020,If you re looking for work in  Memphis  TN  check out this  Education job via the link in our bio  Clinic Manager   ,Memphis  TN,False,0
Sat Mar 21 18 56 45  0000 2020,RT  HAHayatu  Someone sought my advice on investment  kindly help  He has 15M he want to share it among his three children for university,Anime ,False,79
Sat Mar 21 18 55 44  0000 2020,RT  harrythepratt  Fully what does Spalding have against university  never seen a group of young people so against others going and wanting,black lives matter,False,8
Sat Mar 21 18 55 35  0000 2020,RT  EslamHu59146023  Our numbers at university exceed thousands of people If anyone injured   Covid 19  coronavirus everyone will be inju,,False,9
Sat Mar 21 18 55 03  0000 2020, ASU   NAU and  UArizona have officially moved classes online for the rest of the semester  Here are the details   ,Arizona,False,0
Sat Mar 21 18 55 02  0000 2020,RT  CFabio7  I am very excited to announce that I have verbally committed to further my education and softball career at Furman University ,,False,13
Sat Mar 21 18 54 01  0000 2020, Herkimer College provides a quality  affordable  education with more than 40 degree and certificate programs avail  ,Herkimer  NY,False,0
Sat Mar 21 18 53 58  0000 2020,RT  kerrywekelo   Education is the most powerful weapon which you can use to change the world    Nelson Mandela via Tip Kuppler of Culture,,False,2
Sat Mar 21 18 53 56  0000 2020, CanadaGood  VodkaSrups  Laloulabelle  MirandaKeeling Yes  Matter of education so you don t say it as Totten ham  amp   ,England  United Kingdom,False,0
Sat Mar 21 18 53 47  0000 2020,RT  CFabio7  I am very excited to announce that I have verbally committed to further my education and softball career at Furman University ,St Paul  MN,False,13
Sat Mar 21 18 53 46  0000 2020,RT  ac woods  An ASU student who lives in a dorm and picks the cheapest meal plan pays  5 000 a semester  minimum Here s how the universi,TX,False,80
Sat Mar 21 18 53 24  0000 2020,RT  CFabio7  I am very excited to announce that I have verbally committed to further my education and softball career at Furman University ,Greenville  SC,False,13
Sat Mar 21 18 52 56  0000 2020,I am very excited to announce that I have verbally committed to further my education and softball career at Furman  ,,False,13
Sat Mar 21 18 52 12  0000 2020,I thought this as I heard it  No recognition that education is  not  on hold  No recognition that University worker  ,Somewhere in the UK,False,0
Sat Mar 21 18 52 07  0000 2020,RT  Leonie Wall  Its pissing me off so much that the news keep taking about year 6s not properly finishing primary school and missing th,London  England,False,12
Sat Mar 21 18 52 02  0000 2020, realDonaldTrump  So I know for a fact in circles like mine  we have foreign students on visas specifically for un  ,,False,0
Sat Mar 21 18 51 11  0000 2020,RT  kingadindu   WorldForestDay with  MangroveMarathon to  SaveNigerianMangroves in collaboration with Ignatius Ajuru University of Educati,Asaba  Nigeria ,False,5
Sat Mar 21 18 48 54  0000 2020,RT  HAHayatu  Someone sought my advice on investment  kindly help  He has 15M he want to share it among his three children for university,Lagos  Nigeria,False,79
Sat Mar 21 18 47 45  0000 2020,RT  AHMED48  We  university students  demand the cancellation of the second term  Our health is more important than education  We come fro,,False,481
Sat Mar 21 18 47 18  0000 2020,RT  Dolseca1  We  university students  demand the cancellation of the second term  Our health is more important than education  We come fro,,False,16
Sat Mar 21 18 47 15  0000 2020, abhinandita m  ArvindKejriwal  munishkindian  msisodia  golemarketwala  AamAadmiParty  SanjayAzadSln  BDUTT  ,,False,0
Sat Mar 21 18 47 08  0000 2020,RT  miftahulislam71  We want education   We want semester examination   We want  hostel  No corona patients and corona patients   Boycott q,Bengaluru  India,False,5
Sat Mar 21 18 45 52  0000 2020,We know you re working on an education plan for August   TU Admission is here for you   Contact us admission tuscul  ,Greeneville  Tennessee,False,0
Sat Mar 21 18 45 24  0000 2020,Harvard our esteem University once started as a Christian based foundation has devolved into a center for radical  amp   ,West Milford  NJ,False,0
Sat Mar 21 18 45 10  0000 2020,Uncover how the globally unique identification of products and locations is the foundation of effective  ,Ewing  NJ,False,0
Sat Mar 21 18 44 39  0000 2020, KidinaSandbox  PhysWiz Any  Canadian  education stat needs to be taken with a grain of salt though because educati  ,Alsace,False,0
Sat Mar 21 18 43 31  0000 2020,RT  EslamHu59146023  Our numbers at university exceed thousands of people If anyone injured   Covid 19  coronavirus everyone will be inju,,False,9
Sat Mar 21 18 41 11  0000 2020,RT  nik kola82  Tools for distance education   getting started   Section of Chemistry   Uppsala University  Sweden   very nice how to overv,Vancouver  British Columbia,False,4
Sat Mar 21 18 40 52  0000 2020, DCDeoghar  Mam please make stop of every kind of education realated creation by the university Crowd is increasin  ,,False,0
Sat Mar 21 18 39 55  0000 2020,NameLee Jaewook   Hangul   Hanja Date of Birth10th May 1998 Zodiac SignTaurus Chinese ZodiacTiger  Bloo  ,,False,0
Sat Mar 21 18 36 36  0000 2020,RT  KellyMeyerhofer  It s been  quite  the week  The highlight for me was watching a  uwsmph med student s dream come true on  MatchDay  Th,Madison  WI,False,1
Sat Mar 21 18 35 00  0000 2020, Masongham  Marcavellii  ericavaughn   MariposaWarrior  Youngrasp ah yes I love the idea of going bankrupt to get m  ,Surrey  British Columbia,False,0
Sat Mar 21 18 33 17  0000 2020,RT  NIDL DCU  From  mbrownz on the events of the past week  The New Digital University  Reflections on a Week that Changed Irish Higher,Dublin City  Ireland,False,9
