Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,totalSeasons,Response
LivefromCanadaItsEdtheSock,20162017,NA,01Nov2016,NA,ComedyTalkShow,NA,NA,MaxBrandJamesGreenspanLianaKerznerStevenJoelKerzner,EdtheSockselftapesatalkshowinthelobbyofthePlanetHollywoodrestaurantindowntownTorontotalkingaboutcurrenteventsandtalkingtopeoplegoingintoandleavingtherestaurantwhohavenoideawhoheisorwhatisgoingon,English,Canada,NA,httpsmmediaamazoncomimagesMMV5BMGIyYjVhMTEtMWI3Mi00ZThjLTg5MjktNmQxNWVlYjdkMTVjXkEyXkFqcGdeQXVyNDc4MTIyNjMV1SX300jpg,SourceInternetMovieDatabaseValue1710,NA,17,32,tt8706100,series,NA,True
CanadaVignettesLadyFrancesSimpson,1978,NA,NA,1min,AnimationShortBiography,ChristopherHinton,ChristopherHinton,LenCariou,AhumorousaccountofthepioneeringjourneyofLadyFrancesSimpsonalongwithherpianofromEnglandtoManitoba,English,Canada,NA,NA,SourceInternetMovieDatabaseValue6410,NA,64,31,tt0236069,movie,NA,NA,NA,NA,True
CanadaVignettesFaces,1978,NA,NA,1min,ShortAnimation,PaulBochner,NA,NA,Varioushumanfacesshiftfromonetoanother,English,Canada,NA,NA,SourceInternetMovieDatabaseValue7010,NA,70,29,tt0225262,movie,NA,NA,NA,NA,True
OutStoriesofLesbianandGayYouthinCanada,1993,NA,01Sep1993,79min,Documentary,DavidAdkin,NA,ScottThompson,NA,English,Canada,NA,NA,SourceInternetMovieDatabaseValue7110,NA,71,28,tt0110756,movie,NA,NA,NA,NA,True
InterventionCanada,2011,NA,09Sep2011,60min,Documentary,NA,NA,MaureenBrine,TherollercoasterofaddictionWiththehelpofinterventioniststhesubjectmustmakealifeanddeathdecisioncontinuetheirdescenttorockbottomaloneoraccepttheofferofaclearpathtorecoveryinoneofCanadastopaddictiontreatmentfacilities,English,USA,1win1nomination,NA,SourceInternetMovieDatabaseValue7510,NA,75,28,tt2010090,series,2,True
CanadaVignettesBillMiner,1978,NA,NA,1min,AnimationShortBiography,MarvNewland,PeterJones,JoeAustin,ThestoryofBillMinerandthebungledtrainrobberythatgothimcaught,English,Canada,NA,NA,SourceInternetMovieDatabaseValue6510,NA,65,27,tt0225249,movie,NA,NA,NA,NA,True
AnimationFavoritesfromtheNationalFilmBoardofCanada,1994,NA,NA,95min,AnimationDocumentary,SallyRoy,LeonardMaltin,LeonardMaltin,LeonardMaltinhostsaselectionofhisfavoriteanimatedshortsfromtheNationalFilmBoardofCanada,English,Canada,NA,httpsmmediaamazoncomimagesMMV5BMTc3OTUwMTczNl5BMl5BanBnXkFtZTcwOTMwNjcxMQV1SX300jpg,SourceInternetMovieDatabaseValue7510,NA,75,27,tt0307962,movie,NA,NA,NA,NA,True
CanadaVignettesSpencesRepublic,1978,NA,NA,1min,AnimationShortComedy,BradCaslor,NA,LenCariouCliffGardnerBrianRichardson,ThehumouroushistoryoftheshortlivedtinyRepublicofManitobah,English,Canada,NA,NA,SourceInternetMovieDatabaseValue7510,NA,75,26,tt0228111,movie,NA,NA,NA,NA,True
CanadaVignettesTheEgg,1979,NA,NA,1min,AnimationShortComedy,RobertBlisleJeanFranoisPouliot,NA,NA,Aneggdesperatelytriestopreventbeinghatched,English,Canada,NA,NA,SourceInternetMovieDatabaseValue5910,NA,59,25,tt0225287,movie,NA,NA,NA,NA,True
CanadaVignettesTheHorse,1978,NA,NA,1min,AnimationShortHistory,MichaelMills,NA,VlastaVrana,ThestoryoftheimpactthattheintroductionofthehorsehadontheNorthAmericanWest,English,Canada,NA,NA,SourceInternetMovieDatabaseValue6310,NA,63,24,tt0225289,movie,NA,NA,NA,NA,True
